LOCATION,VARIABLE,Variable,SOURCE,Source,YEAR,Year,visitors,Flag Codes,Flags
DNK,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2018,2018,9653727,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2008,2008,9524000,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2010,2010,2857000,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2011,2011,2695000,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2012,2012,2546000,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2013,2013,2627996,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2014,2014,2900455,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2015,2015,2919592,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2016,2016,2852218,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2017,2017,2797167,,
DNK,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2018,2018,3120871,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2008,2008,29828310,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2010,2010,35031552,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2011,2011,36081390,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2012,2012,36086565,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2013,2013,35479688,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2014,2014,37498843,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2015,2015,38523917,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2016,2016,39837441,B,Break
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2017,2017,42721682,,
DNK,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2018,2018,43156239,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2008,2008,2494331,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2009,2009,2220267,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2010,2010,2318712,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2011,2011,2622586,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2012,2012,2778464,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2013,2013,2796839,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2014,2014,2731200,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2015,2015,2622039,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2016,2016,2788903,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2017,2017,3180254,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2018,2018,3224164,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2008,2008,39866,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2009,2009,32603,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2010,2010,39217,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2011,2011,50280,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2012,2012,59491,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2013,2013,79379,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2014,2014,85388,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2015,2015,121208,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2016,2016,158239,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2017,2017,209568,,
FIN,CHN,China,SUPPLY,Tourism supply surveys,2018,2018,202697,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2008,2008,283051,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2009,2009,249277,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2010,2010,246137,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2011,2011,270897,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2012,2012,268810,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2013,2013,245350,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2014,2014,248308,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2015,2015,266397,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2016,2016,268081,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2017,2017,297446,,
FIN,DEU,Germany,SUPPLY,Tourism supply surveys,2018,2018,304387,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2008,2008,191577,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2009,2009,161675,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2010,2010,153941,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2011,2011,154811,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2012,2012,160999,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2013,2013,177583,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2014,2014,180562,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2015,2015,189928,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2016,2016,199738,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2017,2017,229083,,
FIN,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2018,2018,229992,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2008,2008,476632,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2009,2009,456388,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2010,2010,509237,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2011,2011,630064,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2012,2012,731261,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2013,2013,778574,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2014,2014,615116,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2015,2015,351721,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2016,2016,306794,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2017,2017,382114,,
FIN,RUS,Russian Federation,SUPPLY,Tourism supply surveys,2018,2018,377633,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2008,2008,84307,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2009,2009,68852,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2010,2010,74170,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2011,2011,89728,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2012,2012,91181,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2013,2013,89065,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2014,2014,93469,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2015,2015,95319,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2016,2016,107823,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2017,2017,125726,,
FIN,USA,United States,SUPPLY,Tourism supply surveys,2018,2018,139138,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2008,2008,5503000,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2009,2009,4890000,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2010,2010,5005000,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2011,2011,5507000,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2012,2012,5803000,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2013,2013,5860000,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2014,2014,5710000,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2015,2015,5510350,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2016,2016,5771275,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2017,2017,6742834,,
FIN,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2018,2018,6842589,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2008,2008,4767662,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2009,2009,4197575,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2010,2010,4296915,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2011,2011,4711041,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2012,2012,4948446,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2013,2013,4906135,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2014,2014,4795215,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2015,2015,4676645,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2016,2016,4973182,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2017,2017,5726279,,
FIN,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2018,2018,5777077,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2008,2008,734892,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2009,2009,692431,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2010,2010,708153,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2011,2011,796427,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2012,2012,854513,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2013,2013,954312,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2014,2014,915487,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2015,2015,833705,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2016,2016,798093,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2017,2017,1016555,,
FIN,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2018,2018,1065512,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2008,2008,6072000,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2009,2009,5695000,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2010,2010,6182000,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2011,2011,7260000,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2012,2012,7636000,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2015,2015,7529000,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2016,2016,7705000,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2017,2017,8314000,,
FIN,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2018,2018,8530000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2008,2008,3583000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2009,2009,3423000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2010,2010,3670000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2011,2011,4192000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2012,2012,4226000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2015,2015,4858000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2016,2016,4599000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2017,2017,5012000,,
FIN,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2018,2018,5631000,,
FIN,CHN,China,DEMAND,Tourism demand surveys,2015,2015,208000,,
FIN,CHN,China,DEMAND,Tourism demand surveys,2016,2016,265000,,
FIN,CHN,China,DEMAND,Tourism demand surveys,2017,2017,297000,,
FIN,CHN,China,DEMAND,Tourism demand surveys,2018,2018,373000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2008,2008,376000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2009,2009,332000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2010,2010,363000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2011,2011,399000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2012,2012,342000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2015,2015,312000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2016,2016,348000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2017,2017,363000,,
FIN,DEU,Germany,DEMAND,Tourism demand surveys,2018,2018,385000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2008,2008,522000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2009,2009,583000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2010,2010,561000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2011,2011,708000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2012,2012,758000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2015,2015,654000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2016,2016,506000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2017,2017,619000,,
FIN,EST,Estonia,DEMAND,Tourism demand surveys,2018,2018,518000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2008,2008,316000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2009,2009,267000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2010,2010,263000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2011,2011,278000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2012,2012,273000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2015,2015,230000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2016,2016,224000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2017,2017,312000,,
FIN,GBR,United Kingdom,DEMAND,Tourism demand surveys,2018,2018,284000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2008,2008,2331000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2009,2009,2192000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2010,2010,2561000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2011,2011,3261000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2012,2012,3578000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2015,2015,1023000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2016,2016,761000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2017,2017,888000,,
FIN,RUS,Russian Federation,DEMAND,Tourism demand surveys,2018,2018,979000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2008,2008,765000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2009,2009,753000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2010,2010,712000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2011,2011,681000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2012,2012,702000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2015,2015,674000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2016,2016,642000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2017,2017,671000,,
FIN,SWE,Sweden,DEMAND,Tourism demand surveys,2018,2018,669000,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2008,2008,193571000,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2009,2009,192369000,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2010,2010,189825709,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2011,2011,196594694,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2012,2012,197522274,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2013,2013,204409807,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2014,2014,206599139,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2015,2015,203302405,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2016,2016,203042247,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2017,2017,207274458,,
FRA,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2018,2018,211997551,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2008,2008,79218000,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2009,2009,76764000,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2010,2010,76647002,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2011,2011,80498669,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2012,2012,81979697,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2013,2013,83633672,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2014,2014,83701017,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2015,2015,84451621,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2016,2016,82682174,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2017,2017,86758178,,
FRA,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2018,2018,89321896,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2008,2008,8635517,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2009,2009,10164866,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2010,2010,9934912,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2011,2011,10086391,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2012,2012,10364897,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2013,2013,9319831,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2014,2014,9256720,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2015,2015,9614081,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2016,2016,9110174,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2017,2017,10448372,,
FRA,BEL,Belgium,DEMAND,Tourism demand surveys,2018,2018,10507020,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2008,2008,5064998,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2009,2009,5437768,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2010,2010,5466058,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2011,2011,5685972,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2012,2012,6091708,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2013,2013,6498758,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2014,2014,6480475,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2015,2015,6010089,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2016,2016,6352645,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2017,2017,7013236,,
FRA,CHE,Switzerland,DEMAND,Tourism demand surveys,2018,2018,6771926,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2008,2008,11645125,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2009,2009,10691922,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2010,2010,11715051,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2011,2011,11951353,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2012,2012,12563526,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2013,2013,13392500,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2014,2014,12908576,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2015,2015,11477642,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2016,2016,11753130,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2017,2017,12256164,,
FRA,DEU,Germany,DEMAND,Tourism demand surveys,2018,2018,12272217,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2008,2008,5640375,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2009,2009,4874318,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2010,2010,4979581,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2011,2011,5487702,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2012,2012,6130976,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2013,2013,5398485,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2014,2014,5933174,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2015,2015,6125135,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2016,2016,5793718,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2017,2017,6753159,,
FRA,ESP,Spain,DEMAND,Tourism demand surveys,2018,2018,6734267,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2008,2008,13560374,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2009,2009,12192972,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2010,2010,12170394,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2011,2011,12330649,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2012,2012,12134488,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2013,2013,12548670,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2014,2014,11750812,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2015,2015,12235713,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2016,2016,12019067,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2017,2017,12697580,,
FRA,GBR,United Kingdom,DEMAND,Tourism demand surveys,2018,2018,13007825,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2008,2008,8233413,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2009,2009,7249625,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2010,2010,6580334,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2011,2011,7407051,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2012,2012,7388458,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2013,2013,7170531,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2014,2014,7358179,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2015,2015,7594272,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2016,2016,6992289,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2017,2017,6600801,,
FRA,ITA,Italy,DEMAND,Tourism demand surveys,2018,2018,6963211,,
FRA,NLD,Netherlands,DEMAND,Tourism demand surveys,2008,2008,6244234,,
FRA,NLD,Netherlands,DEMAND,Tourism demand surveys,2009,2009,7223986,,
FRA,NLD,Netherlands,DEMAND,Tourism demand surveys,2010,2010,6941228,,
FRA,NLD,Netherlands,DEMAND,Tourism demand surveys,2011,2011,6446244,,
FRA,NLD,Netherlands,DEMAND,Tourism demand surveys,2012,2012,6296484,,
FRA,NLD,Netherlands,DEMAND,Tourism demand surveys,2013,2013,6496052,,
FRA,NLD,Netherlands,DEMAND,Tourism demand surveys,2014,2014,5424003,,
FRA,NLD,Netherlands,DEMAND,Tourism demand surveys,2015,2015,5063458,,
